"BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
0,50,8,37,10,12,23,0,2,2,0,0,0,1,4,0,3,0,0,0,0
0,215,48,245,37,57,36,0,3,40,0,0,0,0,14,0,7,0,0,0,0
0,266,61,223,40,26,34,0,18,23,0,0,0,1,16,0,9,0,0,0,0
0,383,78,278,62,45,52,0,34,50,0,0,0,12,23,0,46,0,0,2,0
0,432,155,270,73,43,63,0,14,58,0,0,0,6,25,0,41,0,0,0,0
0,265,76,63,36,37,31,0,9,1,1,0,0,4,13,0,11,0,0,0,0
0,423,161,83,34,53,43,0,26,0,0,0,0,4,11,0,8,0,0,0,0
0,340,91,88,50,37,13,0,14,0,0,0,0,13,8,0,9,0,0,0,0
0,420,165,104,101,69,30,0,81,2,0,0,0,33,16,0,48,0,0,3,0
0,259,101,44,38,26,33,0,45,1,1,0,0,1,9,2,32,0,0,10,0
0,245,76,33,29,30,34,0,46,2,2,0,0,2,8,9,76,0,3,18,0
0,356,128,17,18,12,32,0,6,0,7,0,0,0,1,0,22,0,11,1,0
1,306,71,11,16,19,53,0,10,9,0,0,0,0,19,0,38,0,1,0,1
0,239,56,18,9,18,23,0,17,11,0,0,0,0,38,0,24,0,0,0,4
0,194,19,18,10,11,8,0,3,18,0,0,0,0,20,0,10,0,0,0,2
0,229,24,9,4,5,9,0,0,9,0,0,0,0,10,0,2,0,0,0,0
0,338,27,0,7,10,17,0,0,49,0,1,0,1,95,0,6,0,0,0,0
0,373,75,0,7,4,38,18,19,92,0,0,0,13,75,0,19,0,0,0,0
0,486,115,6,31,2,135,62,8,52,0,0,1,45,108,0,32,0,0,2,2
0,398,70,8,21,0,82,57,2,2,0,0,0,5,82,0,0,0,0,0,0
0,195,55,6,15,0,38,48,1,0,0,0,0,4,74,0,3,0,0,1,0
0,146,57,0,16,0,66,172,1,0,0,0,0,0,133,0,1,0,0,4,0
0,173,43,0,15,0,64,105,7,12,0,0,0,2,100,0,0,0,0,3,0
0,210,148,0,24,4,42,232,16,9,0,4,0,0,171,0,1,1,4,3,0
0,245,169,1,21,16,135,311,37,20,0,12,0,0,231,0,6,0,16,4,0
0,108,60,0,6,2,29,98,6,0,0,3,0,0,106,0,0,0,0,0,0
0,133,123,0,7,5,65,222,9,5,0,33,0,1,329,0,3,0,0,0,0
0,187,98,0,8,2,42,201,17,7,0,2,0,4,441,0,3,1,0,6,0
27,251,221,0,21,12,155,587,34,23,0,0,12,21,526,0,34,0,37,88,0
16,377,385,29,30,5,91,263,11,29,0,0,8,23,220,0,33,0,34,5,0
8,186,191,16,23,8,29,77,5,5,0,0,0,0,148,0,4,0,4,0,0
0,121,10,2,2,1,6,11,0,1,0,0,0,0,114,0,0,0,0,0,0
0,181,23,0,0,2,13,3,1,3,0,0,0,0,371,0,0,0,0,0,0
0,469,18,0,4,31,32,44,34,19,0,0,0,0,603,0,3,2,0,0,0
2,430,31,0,4,19,18,34,20,3,0,0,0,0,275,0,1,1,0,0,0
5,506,120,0,9,21,37,46,32,0,1,0,0,0,598,0,15,0,6,1,0
80,468,162,0,7,70,72,38,80,17,0,0,0,6,620,0,103,9,34,21,0
3,358,119,6,9,12,16,1,18,0,0,0,0,0,198,0,13,1,3,2,0
0,420,102,5,22,5,72,0,28,0,0,0,3,3,318,1,10,3,0,8,0
0,238,11,6,5,2,38,0,11,0,0,0,0,0,186,0,0,0,0,1,0
